,descricao,a,b,c,d,e,src
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/56f22831-3f
26,none,none,none,none,none,none,/questoes-de-concursos/questoes/89089e78-3e
27,none,none,none,none,none,none,/questoes-de-concursos/questoes/880028d6-3e
28," Um economista afirmou, no telejornal, que “se os impostos não sobem, então a receita fiscal não cresce”. Do ponto de vista da lógica, uma frase equivalente a essa é ","se a receita fiscal cresce, então os impostos sobem. ","se os impostos sobem, então a receita fiscal cresce. ","se a receita fiscal não cresce, então os impostos não sobem. ","ou o imposto não sobe, ou a receita cresce. ",o imposto sobe sempre que a receita fiscal aumenta. ,/questoes-de-concursos/questoes/16a7ce2d-3d
29,none,none,none,none,none,none,/questoes-de-concursos/questoes/a437a3be-37
30," A negação da frase “Ele não é artista, nem jogador de futebol” é equivalente a ",ele é artista ou jogador de futebol. ,ele é artista ou não é jogador de futebol. ,não é certo que ele seja artista e jogador de futebol. ,ele é artista e jogador de futebol. ,ele não é artista ou não é jogador de futebol. ,/questoes-de-concursos/questoes/0fd22c57-34
31,none,none,none,none,none,none,/questoes-de-concursos/questoes/342fab42-2d
32, A sentença “Carlos é policial ou João não é advogado” é logicamente equivalente a: ,"Se João é advogado, então Carlos é policial. ",Carlos não é policial e João é advogado. ," Se Carlos não é policial, então João é advogado. ","Carlos é policial se, e somente se, João não é advogado. "," Se Carlos é policial, então João não é advogado. ",/questoes-de-concursos/questoes/323f8f29-2b
33," Letícia ouviu um barulho vindo do quarto onde estavam seus filhos, Beatriz e Rafael. Perguntou o que havia acontecido, e a babá, que estava com as crianças, respondeu: “Rafael caiu da cama e Beatriz não gritou”. Considerando FALSA esta informação, pode-se concluir corretamente que: ",Rafael não caiu da cama e Beatriz gritou. ,"Ou Rafael caiu da cama, ou Beatriz não gritou. ",Beatriz não gritou e Rafael não caiu da cama. ,Rafael não caiu da cama ou Beatriz gritou. ,Beatriz gritou ou Rafael caiu da cama. ,/questoes-de-concursos/questoes/310dba75-2b
34," Sabe­-se que o valor lógico da afirmação “Se Márcia faz aniversário hoje, então Dario fará aniversário amanhã” é falsidade. Dessa forma, é verdade que ",Dario fará aniversário amanhã. ,Márcia não faz aniversário hoje. ,Márcia não faz aniversário hoje e Dario não fará aniver­sário amanhã. ,Dario fará aniversário amanhã ou Márcia não faz ani­versário hoje. ,"Se Dario não fará aniversário amanhã, então Márcia faz aniversário hoje. ",/questoes-de-concursos/questoes/1206ca53-2b
35," “Se Jorge é inteligente, então ele é analista de redes”. Negar a afirmação proposta é afirmar que ", Jorge não é inteligente e é analista de redes. ,"se Jorge não é inteligente, então ele não é analista de redes. ",Jorge é inteligente e não é analista de redes. ,"se Jorge não é analista de redes, então ele não é inteligente. ",Jorge é analista de redes e é inteligente. ,/questoes-de-concursos/questoes/038d004f-29
36,error,"Se Antônio não é analista de redes, então Sônia é. ","Se Sônia é analista de redes, então Antônio não é. ","Se Sônia não é analista de redes, então Antônio é. ","Se Sônia é analista de redes, então Antônio também é. ","Se Antônio é analista de redes, então Sônia também é. ",/questoes-de-concursos/questoes/fff36e09-29
37,none,none,none,none,none,none,/questoes-de-concursos/questoes/214b61b9-28
38,none,none,none,none,none,none,/questoes-de-concursos/questoes/1b83b017-28
39,none,none,none,none,none,none,/questoes-de-concursos/questoes/18621a24-28
40,none,none,none,none,none,none,/questoes-de-concursos/questoes/15829764-28
41,none,none,none,none,none,none,/questoes-de-concursos/questoes/12cf09e1-28
42,none,none,none,none,none,none,/questoes-de-concursos/questoes/0ff26572-28
43,none,none,none,none,none,none,/questoes-de-concursos/questoes/0c8e9a68-28
44,none,none,none,none,none,none,/questoes-de-concursos/questoes/0938701d-28
45,none,none,none,none,none,none,/questoes-de-concursos/questoes/05ed8a32-28
46,none,none,none,none,none,none,/questoes-de-concursos/questoes/028386f5-28
47,none,none,none,none,none,none,/questoes-de-concursos/questoes/fee7b9de-28
48,none,none,none,none,none,none,/questoes-de-concursos/questoes/fc0cb8ce-28
49, Considere a seguinte proposição: “serei aprovado se e somente se eu estudar muito”. A sua negação pode ser escrita como: , “Serei aprovado ou estudarei muito.” ,“Estudarei muito e não serei aprovado ou serei aprovado e não estudarei muito.” ,“Serei aprovado ou não estudarei muito e estudarei muito ou não serei aprovado.” ,“Serei aprovado e não estudarei muito ou não estudarei muito e não serei aprovado.” ,“Não serei aprovado e não estudarei muito ou estudarei muito e não serei aprovado.” ,/questoes-de-concursos/questoes/91534bb3-26
50," Afirmar que não é verdade que “se Pedro não é brasileiro, então João é corintiano” é equivalente a dizer que ",ou Pedro é brasileiro ou João não é corintiano. ,Pedro não é brasileiro e João não é corintiano. ,Pedro não é brasileiro ou João não é corintiano. ,"se João não é corintiano, então Pedro é brasileiro. ","se Pedro não é brasileiro, então João é corintiano. ",/questoes-de-concursos/questoes/902bf575-26
51,error,Todo juiz apita bem os jogos do time para o qual você torce. ,Nenhum juiz apita bem os jogos do time para o qual você torce. ,Todo juiz apita mal os jogos do time para o qual você torce. ,Algum juiz apita mal os jogos do time para o qual você torce. ,Algum juiz apita bem os jogos do time para o qual você torce. ,/questoes-de-concursos/questoes/65b41e58-24
52,error,"se não como doces, então não engordo nem tenho azia. ","se como doces, então não engordo nem tenho azia. ",como doces e não engordo nem tenho azia. ,não como doces e engordo ou tenho azia. ,"se não como doces, então engordo ou tenho azia. ",/questoes-de-concursos/questoes/647f3c4e-24
53,none,none,none,none,none,none,/questoes-de-concursos/questoes/74579455-1f
54,none,none,none,none,none,none,/questoes-de-concursos/questoes/72b7e4ee-1f
55," Uma afirmação equivalente à afirmação condicional: – Se escorrego na lama, então estou de olhos fechados ou estou desatento – é: "," Se não estou desatento e não estou de olhos fechados, então não escorrego na lama. ","Se não escorrego na lama, então estou de olhos abertos e estou desatento. ","Se não escorrego na lama, então estou de olhos fechados e estou atento. "," Se estou de olhos fechados e estou desatento, então escorrego na lama. ","Se estou de olhos fechados e estou desatento, então não escorrego na lama. ",/questoes-de-concursos/questoes/5815028d-1d
56,none,none,none,none,none,none,/questoes-de-concursos/questoes/ca98e1f9-17
57,none,none,none,none,none,none,/questoes-de-concursos/questoes/ca071649-17
58,error,Hoje chove e amanhã não faz frio. ,"Se hoje não chove, então amanhã não faz frio. ",Amanhã faz frio e hoje não chove. ,"Amanhã não faz frio se, e somente se, hoje não chove. ",Hoje não chove e amanhã não faz frio. ,/questoes-de-concursos/questoes/0b07a9d9-16
59,none,none,none,none,none,none,/questoes-de-concursos/questoes/8f7a5e52-16
60,none,none,none,none,none,none,/questoes-de-concursos/questoes/8e5874f0-16
61,none,none,none,none,none,none,/questoes-de-concursos/questoes/8dc7fee4-16
62,error,Não gosto de sair de casa e não vou ao cinema todos os dias. ,Vou ao cinema todos os dias e gosto de ficar em casa. ,Não vou ao cinema todos os dias ou não gosto de ficar em casa. ,"Se não gosto de ficar em casa, então vou ao cinema todos os dias. ",Gosto de ficar em casa ou não vou ao cinema todos os dias. ,/questoes-de-concursos/questoes/f1df6a38-12
63,none,none,none,none,none,none,/questoes-de-concursos/questoes/df995ad5-10
64,none,none,none,none,none,none,/questoes-de-concursos/questoes/de7b71bb-10
65,none,none,none,none,none,none,/questoes-de-concursos/questoes/73e0ede9-0d
66,none,none,none,none,none,none,/questoes-de-concursos/questoes/a6ac4c92-0c
67,none,none,none,none,none,none,/questoes-de-concursos/questoes/a61c6c90-0c
68, Qual a negação lógica da sentença “Todo número natural é maior do que ou igual a cinco”? ,Todo número natural é menor do que cinco. ,Nenhum número natural é menor do que cinco. ,Todo número natural é diferente de cinco. ,Existe um número natural que é menor do que cinco. ,Existe um número natural que é diferente de cinco. ,/questoes-de-concursos/questoes/b7fa7f1b-05
69,none,none,none,none,none,none,/questoes-de-concursos/questoes/fd2ab131-04
70,none,none,none,none,none,none,/questoes-de-concursos/questoes/3c0feba7-04
71,none,none,none,none,none,none,/questoes-de-concursos/questoes/3b043bf2-04
72,none,none,none,none,none,none,/questoes-de-concursos/questoes/3a7e340a-04
73,error,"I, apenas.","II, apenas.","I e III, apenas.","II e III, apenas.","I, II e III.",/questoes-de-concursos/questoes/ba19a5b0-ff
74, Todos os cachorros latem e nem todos os gatos miam. Uma frase que corresponde à negação lógica dessa afirmação é: ,Nenhum cachorro late e todos os gatos miam. ,Alguns cachorros latem ou alguns gatos miam. ,Nem todos os cachorros latem ou todos os gatos miam. ,Qualquer cachorro late ou qualquer gato mia , Nenhum cachorro late e nenhum gato mia. ,/questoes-de-concursos/questoes/2bdae751-fa
75,error," Se Maria não for aprovada no concurso, então Jorge se mudará. ","Se Maria for aprovada no concurso, então Jorge não se mudará. ","Se Maria for aprovada no concurso, então Jorge se mudará. ",Jorge não se mudará ou Maria será aprovada no concurso. ,"Jorge se mudará se, e somente se, Maria não for aprovada no concurso. ",/questoes-de-concursos/questoes/9e17c6b3-fa
76,none,none,none,none,none,none,/questoes-de-concursos/questoes/b084f9e5-f5
77,none,none,none,none,none,none,/questoes-de-concursos/questoes/0380534e-f3
78,none,none,none,none,none,none,/questoes-de-concursos/questoes/11e28c11-f3
79,none,none,none,none,none,none,/questoes-de-concursos/questoes/db99100f-f3
80,none,none,none,none,none,none,/questoes-de-concursos/questoes/d8fd7ea8-f3
81,none,none,none,none,none,none,/questoes-de-concursos/questoes/8edf3abf-f3
82,none,none,none,none,none,none,/questoes-de-concursos/questoes/8dd81e49-f3
83,error,Os gatos pardos miam alto ou todos os gatos não são pardos. ,Nenhum gato mia alto e todos os gatos são pardos. ,Todos os gatos são pardos ou os gatos que não são par- dos não miam alto. ,Todos os gatos que miam alto são pardos. ,Qualquer animal que mia alto é gato e quase sempre ele é pardo. ,/questoes-de-concursos/questoes/1e962d9d-f2
84,error,"Se minha avó não vai para a igreja, então o sino da igreja não toca ou minha avó não o escuta. ","Se minha avó não o escuta, então o sino da igreja não toca e minha avó não vai para a igreja. ",Minha avó não o escuta ou o sino da igreja toca ou minha avó vai para a igreja. ,"Se o sino da igreja toca e minha avó vai para a igreja, então minha avó o escuta. ","Se o sino da igreja não toca ou minha avó não o escuta, então minha avó não vai para a igreja. ",/questoes-de-concursos/questoes/1bbb7a84-f2
85,none,none,none,none,none,none,/questoes-de-concursos/questoes/5dee1d5d-f2
86,none,none,none,none,none,none,/questoes-de-concursos/questoes/64105873-f1
87,none,none,none,none,none,none,/questoes-de-concursos/questoes/6364adf4-f1
88,none,none,none,none,none,none,/questoes-de-concursos/questoes/62b979da-f1
89," O valor lógico da afirmação “Se Paulo é formado em sistemas de informação, então ele é um tecnólogo” é falsidade. Sendo assim, é verdade que: ",Paulo não é formado em sistemas de informação. ,Paulo não é um tecnólogo. , Paulo é formado em sistemas de informação e é um tecnólogo , Paulo não é formado em sistemas de informação ou é um tecnólogo ,Paulo não é um tecnólogo e não é formado em sistemas de informação ,/questoes-de-concursos/questoes/50c364f3-f0
90, Uma negação lógica para a proposição “Pedro estudou e está participando de um concurso” está contida na alternativa: ,Pedro não estudou ou não está participando de um concurso. ,Pedro não estudou e não está participando de um concurso. ,"Pedro estudou pouco, mas está participando de um concurso. ","Pedro estudou, mas não está participando de um concurso ",Pedro estudou pouco e não está participando de um concurso. ,/questoes-de-concursos/questoes/4e567f2f-f0
91,error,Ela não nasceu em Alagoas.,Ela não nasceu em Pernambuco.,Ela nasceu na Bahia.,Ela nasceu em Alagoas ou em Pernambuco.,Ela não nasceu em Sergipe.,/questoes-de-concursos/questoes/cf665307-f0
92," João e Maria são professores da rede pública de ensino e gostam muito de conhecer novos lugares. Considerando a proposição “João e Maria viajam sempre durante as férias escolares”, assinale a negação dessa proposição. ", “João e Maria não viajam sempre durante as férias escolares”. ,“João e Maria viajam sempre durante o período letivo”. ,“João e Maria viajam algumas vezes durante as férias escolares”. ,“João e Maria viajam algumas vezes durante o período letivo”. ,“João e Maria não viajam sempre durante o período letivo”. ,/questoes-de-concursos/questoes/1d833824-ed
93," Considere a seguinte orientação nutricional: Todas as suas refeições principais devem conter uma porção de legumes cozidos (de baixo carboidrato) e uma de proteína, sendo ovo cozido ou carne magra. A negação lógica dessa orientação é: ","nenhuma de suas refeições principais deve conter legumes cozidos (de baixo carboidrato) ou proteína, sendo ovo cozido ou carne magra. ","todas as suas refeições principais devem conter uma porção de legumes cozidos (de baixo carboidrato) e, ao menos uma, porção de proteína, sendo ovo cozido e carne magra. ","ao menos uma de suas refeições principais deve conter uma porção de legumes cozidos (de baixo carboidrato), mas não deve conter proteína, nem ovo cozido e nem carne magra. "," ao menos uma de suas refeições principais não deve conter legumes cozidos (de baixo carboidrato), mas deve conter proteínas, sendo ovo cozido ou carne magra. ","ao menos uma de suas refeições principais não deve conter legumes cozidos (de baixo carboidrato) ou não deve conter proteínas, nem de ovo cozido e nem de carne magra. ",/questoes-de-concursos/questoes/597bac4e-ed
94,error,Pelo menos um dos quatro elementos não ingeriu a substância S ou não morreu por envenenamento. ,Todos os quatro elementos não ingeriram a mesma substância S e não morreram por envenenamento. ,Nenhum dos quatro elementos ingeriu a substância S ou morreu por envenenamento. ,"Talvez os quatro elementos não tenham ingerido a substância S, mas todos morreram por envenenamento. ","Existe apenas um dos quatro elementos que não ingeriu a substância S, mas morreu por envenenamento. ",/questoes-de-concursos/questoes/4ce46f98-ec
95, Assinale a alternativa que apresenta a negação de “Todos os pães são recheados”. ,Existem pães que não são recheados. ,Nenhum	pão	é	recheado. ,Apenas	um	pão	é	recheado. ,Pelo	menos	um	pão	é	recheado. ,Nenhuma das alternativas. ,/questoes-de-concursos/questoes/f9169076-eb
96,none,none,none,none,none,none,/questoes-de-concursos/questoes/a66d8719-e7
97,none,none,none,none,none,none,/questoes-de-concursos/questoes/c22a0701-e6
98,none,none,none,none,none,none,/questoes-de-concursos/questoes/c022051c-e6
99,none,none,none,none,none,none,/questoes-de-concursos/questoes/beacda96-e6
